Taxa(Species/Node),Isolate(SpecimenID/repeat),Centroid_size,Tube_curvature,Lobe_area_ratio,Tube_dilation,Lobe_recurvation
Node_01,rep_038,152789.9995,0.000615308,0.079396712,1.555489844,330.3828593
Node_01,rep_039,155060.9649,0.000600116,0.081885297,1.538298765,340.713487
Node_01,rep_040,154443.0852,0.000578523,0.075682114,1.543842624,282.4718415
Node_01,rep_041,154167.0522,0.00064202,0.078876684,1.523089968,340.8570794
Node_01,rep_042,152414.2883,0.000606853,0.078672955,1.550762938,327.8230676
Node_01,rep_043,151986.8002,0.000612486,0.079594013,1.515158598,314.6559888
Node_01,rep_044,153646.984,0.0006447,0.08234434,1.537237473,349.8771759
Node_01,rep_045,153905.9044,0.000630743,0.078607092,1.567265335,314.4029012
Node_01,rep_046,154008.2994,0.000583876,0.07638617,1.558998512,291.710468
Node_01,rep_047,152883.9771,0.000603117,0.078571619,1.546288489,316.5955322
Node_01,rep_048,151548.0715,0.000647757,0.079651341,1.52965765,341.1026674
Node_01,rep_049,154007.8382,0.000589119,0.078421153,1.515759329,334.206334
Node_01,rep_050,152113.4704,0.00060731,0.078545797,1.554761774,326.816939
Node_01,rep_051,154324.7488,0.000628818,0.082278929,1.541075396,343.5711573
Node_01,rep_052,153806.0051,0.000643823,0.081712714,1.535205869,349.9011383
Node_01,rep_053,152633.8981,0.000668063,0.079485884,1.533537246,341.5349779
Node_01,rep_054,155173.401,0.000583577,0.077146785,1.547527768,275.2169367
Node_01,rep_055,152600.4714,0.000614097,0.079431705,1.520125358,316.6945777
Node_01,rep_056,151937.8869,0.000619871,0.078375288,1.571701643,316.1740363
Node_01,rep_057,152468.7515,0.000605772,0.080920363,1.538138488,347.5866505
Node_01,rep_058,153436.966,0.000586078,0.075744519,1.561028218,290.2505565
Node_01,rep_059,152423.9248,0.000586311,0.076995117,1.531826751,296.4303754
Node_01,rep_060,153321.6836,0.00059382,0.075773578,1.5396199,294.5361189
Node_01,rep_061,152593.2893,0.000611378,0.074965597,1.560375474,285.2968686
Node_01,rep_062,154583.7939,0.000624621,0.081966599,1.544597991,342.4998125
Node_01,rep_063,153307.5134,0.000622498,0.079919572,1.52501635,331.0582743
Node_01,rep_064,155780.0469,0.00058511,0.075703262,1.549316558,284.1272005
Node_01,rep_065,152246.8565,0.000586142,0.078483931,1.558619021,308.8963226
Node_01,rep_066,152963.2745,0.000582572,0.077309455,1.538489977,314.0967821
Node_01,rep_067,151990.2833,0.000634331,0.07815097,1.555663505,321.3185277
Node_01,rep_068,154311.4835,0.000638039,0.080546306,1.555622197,310.0993781
Node_01,rep_069,155657.463,0.000638841,0.077714861,1.567940271,321.6455446
Node_01,rep_070,152151.0923,0.000620782,0.082746911,1.532459705,343.711773
Node_01,rep_071,152526.3827,0.000656681,0.076773324,1.549306059,302.8666873
Node_01,rep_072,152777.1481,0.000602019,0.076999194,1.549652094,293.2574458
Node_01,rep_073,153461.6413,0.000625305,0.078794238,1.524778441,335.328605
Node_01,rep_074,153169.771,0.000628132,0.077924694,1.573741049,317.1854116
Node_01,rep_075,154995.4466,0.000571099,0.078427313,1.546102137,321.4149561
Node_01,rep_076,152848.3575,0.000587587,0.077572456,1.551522326,288.0191439
Node_01,rep_077,153905.8298,0.0006752,0.079363195,1.562204491,322.626467
Node_01,rep_078,155237.4997,0.0006278,0.07712585,1.560346259,281.0367056
Node_01,rep_079,153614.0536,0.000626248,0.077358054,1.546020603,301.0924358
Node_01,rep_080,152329.4074,0.000668872,0.078630561,1.534902816,327.6387259
Node_01,rep_081,154390.4897,0.000582253,0.077008775,1.562497751,315.1043244
Node_01,rep_082,153008.3856,0.000633372,0.079724954,1.526164719,314.995719
Node_01,rep_083,152479.763,0.000645239,0.082586511,1.545116976,347.647287
Node_01,rep_084,152388.4057,0.000639349,0.078062578,1.551304245,321.6678798
Node_01,rep_085,153517.8257,0.000627222,0.077879165,1.557638846,280.219157
Node_01,rep_086,153929.0761,0.000601752,0.078739791,1.526919685,330.0994597
Node_01,rep_087,151989.6753,0.000648837,0.081025513,1.540514998,354.2125494
Node_01,rep_088,152658.5232,0.000630952,0.081630705,1.53756379,349.4384596
Node_01,rep_089,154535.5867,0.000676347,0.079329566,1.535034124,323.8524331
Node_01,rep_090,152000.611,0.000577209,0.079125943,1.517889348,327.7261224
Node_01,rep_091,153284.468,0.000643065,0.080015716,1.529886354,316.982708
Node_01,rep_092,153877.5355,0.000608104,0.076077997,1.537180574,299.9309597
Node_01,rep_093,153336.0206,0.000595523,0.0791655,1.512010438,316.0416939
Node_01,rep_094,155641.1167,0.000616308,0.080974254,1.549472485,324.8428447
Node_01,rep_095,153930.7449,0.000586483,0.077686685,1.56348819,313.388047
Node_01,rep_096,153302.7068,0.000599419,0.078328629,1.550182007,275.6026895
Node_01,rep_097,154062.3007,0.000610429,0.077422688,1.554642087,292.1420553
Node_01,rep_098,153802.1002,0.000614243,0.07531707,1.554797463,289.1537239
Node_01,rep_099,155694.9244,0.000586152,0.078984022,1.522374742,332.4566505
Node_01,rep_100,152369.2773,0.000602457,0.079158524,1.51382193,315.2259971
Node_02,rep_001,121486.6788,0.000600332,0.073652673,1.512753417,300.7313589
Node_02,rep_002,121093.8688,0.000626482,0.076756208,1.489484711,315.2848792
Node_02,rep_003,120773.1106,0.000613431,0.076413334,1.490985597,331.5929327
Node_02,rep_004,121067.8707,0.000622441,0.07377484,1.519409771,290.8649443
Node_02,rep_005,122013.8227,0.000639444,0.078570836,1.504146171,343.4877868
Node_02,rep_006,120662.7236,0.000593904,0.075921944,1.512130672,292.9101045
Node_02,rep_007,120921.398,0.000616057,0.077666656,1.504656787,338.5098091
Node_02,rep_008,120627.6342,0.000623748,0.075211055,1.529092347,313.7788762
Node_02,rep_009,121813.0225,0.000579193,0.076999338,1.50841778,316.342319
